id,Job_Role,Company,Location,Skills/Description
1,Senior Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics"
2,Senior Data Scientist,Walmart,Bangalore/Bengaluru,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow"
3,Applied Data Scientist / ML Senior Engineer (Python / SQL),SAP India Pvt.Ltd,Bangalore/Bengaluru,"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP"
4,Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","python, machine learning, Data Science, data analysis, aws, azure"
5,Data Scientist,Walmart,Bangalore/Bengaluru,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning"
6,Principal Data Scientist,Walmart,Bangalore/Bengaluru,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning"
7,Data Scientist,Walmart,Bangalore/Bengaluru,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics"
8,Expert Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science"
9,Data Scientist,Ericsson,Bangalore/Bengaluru,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence"
10,Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Geakminds Technologies Private Limited,Chennai,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL"
11,Senior Data Scientist - Machine Learning,Global Employees,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Any Location","Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source"
12,Data Scientist / Senior Data Scientist,Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning"
13,Sr Data Scientist,Target,Bangalore/Bengaluru,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum"
14,Senior Data Scientist,Northface Consultancy Services Private Limited,Bangalore/Bengaluru(Whitefield),"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS"
15,Senior Data Scientist,referral,Bangalore/Bengaluru,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval"
16,Lead Python Data Scientist,Micello India Pvt Ltd,Bangalore/Bengaluru,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS"
17,Senior Data Scientist Grade12,Flipkart,Bangalore/Bengaluru,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks"
18,Senior Data Scientist Grade12,Flipkart,Bangalore/Bengaluru,"data science, E-commerce, Statistics"
19,Sr. Analyst - Applied Data Scientist,Tesco,Bangalore/Bengaluru,"python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny"
20,Data Scientist V,IGT India,Hyderabad/Secunderabad,"IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science"
21,"Manager, Data Scientist/AI and Machine Learning Specialist",Pfizer,Chennai,"Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization"
22,Digital-Process Manager-Data Scientist PM,eClerx,Pune,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest"
23,Associate Data Scientist,Eli Lilly and Company,Bangalore/Bengaluru,"data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC"
24,Senior Data Scientist,Revnomix Solutions LLP,"Mumbai, Pune, Mumbai (All Areas)","python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript"
25,Senior Data Scientist,novo,Gurgaon/Gurugram,"Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL"
26,Junior Data Analyst/ Scientist- Fresher Position,Sejal Consulting Hub,Remote,"Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python"
27,Sr. Clinical Data Programming Scientist,Accenture,Bangalore/Bengaluru,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials"
28,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",Pfizer,Chennai,"Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring"
29,Senior Data Scientist,Michelin,Pune,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data"
30,Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics"
